1988-2002,2010-2019
0.07335138727217698,0.054554458345367235
0.032465950633809464,0.022895754152902556
0.0035420520879255375,0.0024135155690880733
0.6446403115329787,0.6830489555094881
0.4978616877020966,0.5906235050231223
0.3519349118598102,0.4564503269016106
0.0011965540964910747,0.0022223006265559854
0.11582643999949675,0.03623277799882983
3.675076994034149e-4,-6.421543468323906e-5
8.212667566544807e-4,0.0023861584356666115
0.3923730148076969,0.4132367779936786
0.25815744336660523,0.2034452038141809
