I,C,P,P0hat,P1hat,EV,EVhat
0,0,4,0.475,0.525,61.128,61.553
1,0,4,0.608,0.392,65.01,65.419
2,0,4,0.683,0.317,68.482,68.891
3,0,4,0.72,0.28,71.669,72.094
4,0,4,0.773,0.227,74.63,75.092
5,0,4,0.828,0.172,77.394,77.924
6,0,4,0.824,0.176,79.959,80.591
7,0,4,0.818,0.182,82.263,83.084
8,0,4,0.999,0.001,84.073,85.309
0,1,4,0.115,0.885,58.491,58.932
1,1,4,0.469,0.531,63.128,63.553
2,1,4,0.611,0.389,67.01,67.419
3,1,4,0.673,0.327,70.482,70.891
4,1,4,0.781,0.219,73.669,74.104
5,1,4,0.743,0.257,76.63,77.092
6,1,4,0.836,0.164,79.394,79.927
7,1,4,0.872,0.128,81.959,82.604
8,1,4,0.727,0.273,84.263,85.117
0,0,1,0.001,0.999,63.244,63.769
1,0,1,0.067,0.933,66.895,67.3
2,0,1,0.083,0.917,70.203,70.617
3,0,1,0.08,0.92,73.26,73.709
4,0,1,0.154,0.846,76.11,76.601
5,0,1,0.217,0.783,78.766,79.353
6,0,1,0.333,0.667,81.201,81.974
7,0,1,0.286,0.714,83.282,84.313
8,0,1,0.999,0.001,84.278,86.655
0,1,1,0.001,0.999,61.025,61.466
1,1,1,0.045,0.955,65.244,65.657
2,1,1,0.052,0.948,68.895,69.303
3,1,1,0.1,0.9,72.203,72.617
4,1,1,0.097,0.903,75.26,75.704
5,1,1,0.176,0.824,78.11,78.606
6,1,1,0.286,0.714,80.766,81.389
7,1,1,0.167,0.833,83.201,83.912
8,1,1,0.333,0.667,85.282,86.336
